airvooocht,1
airwave,1
ajax2847,1
ajcglobal,1
ajdomanico,1
ajit,1
ajitpaifcc,1
ajschanfield,1
aka,17
(aka,2
akadonaldtrump,8
akahermansnerd,1
aklienhartminn,1
al3xw1nd,1
alabama,12
alamoontherise,1
alan,3
alanaevansxxx,1
alanomorris_rex,1
alarm,11
alaska,2
alba_risen,1
albesim,2
alcardfan,1
aldecoaedward,1
alec,1
aleccrook6,1
alecexposed,5
aleins,3
alemlek,2
alert,3
alert!,1
a_lesbian_girl,11
alessandrostacy,2
alex,8
alexaadru,2
alexanderbruz,1
alexsi61191104,1
alfonslopeztena,16
alfromct,8
ali,1
aliadair22,1
aliana_pierre,1
aliasvaughn,6
alice,1
alicekrakauer,5
aliceradley,1
alien,43
aliens',4
aligiarc,1
align,1
aligned,4
alinsky,1
alisaagail,4
alisonr61423986,2
alive,3
alivitali,2
'all,1
(all,1
allanishacnyc,1
allanmargolin,6
allega,4
allegation,147
allege,3
alleged,21
allegedly,3
allegiance,4
allegiant,1
alleging,5
allen,2
allen_clifton,9
allenwestrepub,1
alliance,1
alliedprogress,2
alligatorsintheswamp,1
allin,1
alllwftopic,1
allo,1
allocate,2
all-out,2
allow,24
allowe,1
allowed,84
allowing,9
allows,24
allred,19
allresistnews,1
allriseamerica,2
all-white,3
ally,40
-ally,1
allyn,5
almost,32
(almost,2
(almost),2
almost&gt,1
alo,1
aloha,1
alohabrianb,2
alohatimaloha,1
alone,25
alone!,2
along,21
alonso,1
alot,1
alozras411,5
alread,1
already,123
already-rich,1
alright,11
alt,1
alt_budget_cuts,2
alternate,6
alternative,3
alternet,6
altfactsusa,1
although,2
altogether,1
altogether!,1
alt-right,12
alturnatively,1
alt_uscis,3
altusda_ars,1
alvarez3700,1
alvedacking,1
alway,5
always,65
alwaysactions,7
always_resist,2
alyssa_milano,131
alzheimer,10
am102358,1
am2018,1
amagine,1
amalsaad_lb,2
amanda,1
amaz,4
amaze,1
amazing,67
amazon,912
amazon!,1
amazon!!,1
amazon!!!!,1
amazon?,2
amazon&amp,1
amazon--one,2
amazonuk,1
ambassador,10
-ambassador,1
amberl_evans,1
ambit,1
ambitious,3
ambjohnbolton,1
amcafee,3
ame,1
amen,3
amen!,1
amend,1
amendment,56
amendment?,1
amensliquor,1
amer,9
ameri,1
americ,4
america,851
'america,25
america!,2
america?,43
americaagainon,11
america&amp,3
americafirst,1
americaisoverparty,1
american,344
(american,1
american!,9
americandream09,1
americaneponym,1
americangirl815,1
americanmousa,1
american_talker,1
americantrikery,1
americanvet1219,1
americanvor,1
americanvoterus,5
amerika,2
amerikangirlbot,27
